"Global.Match.ID","Local.Match.ID","Home.Team.Init","Away.Team.Init","Home.Team.Name","Away.Team.Name","Home.Team.Goals","Away.Team.Goals","Date","Season","Season.Phase","Attendance","Referees","Home.Coach","Home.Assistant","Away.Coach","Away.Assistant","Home.Team.Halftime.Goals","Away.Team.Halftime.Goals","Home.Team.7m.Goals","Away.Team.7m.Goals","HT.Break.Goals","HT.Goalkeepers.Perc","HT.Goalkeepers.Saves","HT.Shots.Acc.Perc","HT.7m.Shots.Acc","AT.Break.Goals","AT.Goalkeepers.Perc","AT.Goalkeepers.Saves","AT.Shots.Acc.Perc","AT.7m.Shots.Acc","Day.Name","Day.Status","Public.Holiday","CT.Broadcast"
57,57,"LOV","JIC","HK FCC Mesto Lovosice","HBC Ronal Jicín",21,19,2018-09-15,"2018/2019","RegularPhaseMatch",460,"Milan Hájek, Karel Macho","Roman Jelínek","Pavel Haken","Aleš Babák","Petr Kyncl",10,10,6,0,,,,,,,,,,,"Sat","Weekend",0,0
58,58,"ZUB","NOV","HC ROBE Zubrí","TJ Sokol Nové Veselí",25,27,2018-09-15,"2018/2019","RegularPhaseMatch",974,"Tomáš Bubenícek, Tomáš Petruška","Dušan Poloz","Zbynek Mizera","Pavel Hladík","Stanislav Krcál",11,14,3,4,,,,,,,,,,,"Sat","Weekend",0,0
59,59,"DUK","PLZ","HC Dukla Praha","Talent ROBSTAV-M.A.T.Plzen",24,24,2018-09-16,"2018/2019","RegularPhaseMatch",422,"Michal Hanák, Luboš Pavlícek","Daniel Curda","Jirí Kotrc","Michal Tonar","Stanislav Raizl",10,11,2,3,,,,,,,,,,,"Sun","Weekend",0,0
60,60,"FRM","KOP","Pepino SKP Frýdek-Místek","KH Koprivnice",30,32,2018-09-16,"2018/2019","RegularPhaseMatch",456,"Tomáš Kozler, Martin Zych","Lubomír Kavka","Petr Mazur","Lubomír Vermirovský","Igor Fulnek",13,15,1,1,,,,,,,,,,,"Sun","Weekend",0,0
61,61,"NOV","FRM","TJ Sokol Nové Veselí","Pepino SKP Frýdek-Místek",23,22,2018-09-07,"2018/2019","RegularPhaseMatch",300,"Lukáš Frieser, Radoslav Kavulic","Pavel Hladík","Stanislav Krcál","Lubomír Kavka","Petr Mazur",11,10,1,0,,,,,,,,,,,"Fri","WorkingDay",0,0
62,62,"HRA","BRN","TJ Cement Hranice","SKKP Handball Brno",31,24,2018-09-08,"2018/2019","RegularPhaseMatch",156,"Premysl Fukala, Radek Mohyla","Libor Hrabal","Martin Potiška","Andrej Titkov","Vít Kucera",20,12,3,3,,,,,,,,,,,"Sat","Weekend",0,0
63,63,"LIT","ZUB","TJ Tatran Litovel","HC ROBE Zubrí",22,27,2018-09-08,"2018/2019","RegularPhaseMatch",348,"Michal Hanák, Luboš Pavlícek","Ivo Vávra","Jirí Macek","Dušan Poloz","Zbynek Mizera",12,14,7,2,,,,,,,,,,,"Sat","Weekend",0,0
64,64,"JIC","KAR","HBC Ronal Jicín","HCB Karviná",27,26,2018-09-08,"2018/2019","RegularPhaseMatch",520,"Milan Hájek, Karel Macho","Aleš Babák","Petr Kyncl","Marek Michalisko","Jirí Tabara",11,10,3,0,,,,,,,,,,,"Sat","Weekend",0,0
65,65,"KOP","PLZ","KH Koprivnice","Talent ROBSTAV-M.A.T.Plzen",29,38,2018-09-08,"2018/2019","RegularPhaseMatch",300,"Adam Baader, Jirí Novotný","Lubomír Vermirovský","Igor Fulnek","Michal Tonar","Stanislav Raizl",12,21,6,1,,,,,,,,,,,"Sat","Weekend",0,0
66,66,"LOV","DUK","HK FCC Mesto Lovosice","HC Dukla Praha",32,30,2018-09-08,"2018/2019","RegularPhaseMatch",0,"Dalibor Pavlát, Ludek Tocík","Roman Jelínek","Pavel Haken","Daniel Curda","Jirí Kotrc",18,18,3,0,,,,,,,,,,,"Sat","Weekend",0,1
67,1,"KAR","PLZ","HCB Karviná","M.A.T. Plzen",30,24,2018-05-12,"2017/2018","FinalsMatch",1213,"Dalibor Pavlát, Ludek Tocík","Marek Michalisko","Jan Užek","Michal Tonar","Stanislav Raizl",18,11,4,0,203,39.56,567,61.82,76.37,109,39.67,559,58.61,73.25,"Sat","Weekend",0,0
68,2,"KAR","PLZ","HCB Karviná","M.A.T. Plzen",32,31,2018-05-13,"2017/2018","FinalsMatch",1270,"Mojmír Valášek, Jaroslav Vychodil","Marek Michalisko","Jan Užek","Michal Tonar","Stanislav Raizl",15,17,8,3,203,39.56,567,61.82,76.37,109,39.67,559,58.61,73.25,"Sun","Weekend",0,0
69,3,"PLZ","KAR","M.A.T. Plzen","HCB Karviná",30,29,2018-05-19,"2017/2018","FinalsMatch",920,"Václav Horácek, Jirí Novotný","Michal Tonar","Stanislav Raizl","Marek Michalisko","Jan Užek",14,15,1,2,109,39.67,559,58.61,73.25,203,39.56,567,61.82,76.37,"Sat","Weekend",0,0
70,4,"PLZ","KAR","M.A.T. Plzen","HCB Karviná",29,30,2018-05-20,"2017/2018","FinalsMatch",1200,"Pavel Blanar, Michael Haramul","Michal Tonar","Stanislav Raizl","Marek Michalisko","Jan Užek",13,15,0,4,109,39.67,559,58.61,73.25,203,39.56,567,61.82,76.37,"Sun","Weekend",0,0
71,5,"ZUB","LOV","HC ROBE Zubrí","HK FCC Mesto Lovosice",24,25,2018-05-12,"2017/2018","3rdPlaceMatch",1183,"Marek Becicka, Jirí Horák","Andrej Titkov","Ivo Tovaryš","Roman Jelínek","Pavel Haken",14,11,5,3,253,38.96,558,57.85,71.09,187,38.74,597,54.42,72.27,"Sat","Weekend",0,0
